,username,is_quoted_tweet,is_retweeted_tweet,tweet_id,created_at,text,hashtags,like_count,reply_count,retweet_count,referenced_tweets,context_annotations,entity_annotations
51,yumbrands,False,False,1522331294897745920,2022-05-05 21:43:58+00:00,"Authentic conversations are critical to making positive change, which is why we're taking a look back at a discussion between several of our Yum! Brands employees who shared their perspectives and experiences as people of Asian or Pacific Islander descent. https://t.co/IBl6KH61aL https://t.co/gUBxgIqhPd",,0,7,0,,"{('47', 'Brand', 'Yum! Brands'), ('131', 'Unified Twitter Taxonomy', 'S&P 500'), ('131', 'Unified Twitter Taxonomy', 'Yum! Brands')}","{('Other', 'Pacific Islander')}"
52,yumbrands,False,False,1521852005429432323,2022-05-04 13:59:27+00:00,"This morning we reported our Q1 2022 #YumEarnings in which we delivered system sales growth of 8%, opened nearly 1,000 gross units and achieved approximately $6 billion in digital sales. Read more in our first quarter release here: https://t.co/p9yxxNLf5Y

$YUM https://t.co/THPteSDxqs",{'YumEarnings'},2,4,0,,"{('65', 'Interests and Hobbies Vertical', 'Business & finance'), ('67', 'Interests and Hobbies', 'Stocks & indices'), ('66', 'Interests and Hobbies Category', 'Personal finance'), ('131', 'Unified Twitter Taxonomy', 'Yum! Brands'), ('47', 'Brand', 'Yum! Brands'), ('131', 'Unified Twitter Taxonomy', 'S&P 500')}","{('Other', 'YUM'), ('Other', 'YumEarnings')}"
53,yumbrands,False,False,1521812396465082369,2022-05-04 11:22:03+00:00,$YUM Q1’22 Earnings Infographic can be found here: https://t.co/vjFxY0EMLl https://t.co/PspsmFcF6W,,1,1,0,,"{('65', 'Interests and Hobbies Vertical', 'Business & finance'), ('67', 'Interests and Hobbies', 'Stocks & indices'), ('66', 'Interests and Hobbies Category', 'Personal finance'), ('131', 'Unified Twitter Taxonomy', 'Yum! Brands'), ('47', 'Brand', 'Yum! Brands'), ('131', 'Unified Twitter Taxonomy', 'S&P 500')}","{('Other', 'YUM')}"
54,yumbrands,False,False,1521808788302532608,2022-05-04 11:07:43+00:00,$YUM to host conference call for Q1’22 Earnings today 5/4 at 8:15 AM ET. Listen at:  https://t.co/Lyd0HCWC6X,,1,1,0,,"{('65', 'Interests and Hobbies Vertical', 'Business & finance'), ('67', 'Interests and Hobbies', 'Stocks & indices'), ('66', 'Interests and Hobbies Category', 'Personal finance'), ('131', 'Unified Twitter Taxonomy', 'Yum! Brands'), ('47', 'Brand', 'Yum! Brands'), ('131', 'Unified Twitter Taxonomy', 'S&P 500')}","{('Organization', 'YUM')}"
55,yumbrands,False,False,1521808670144831488,2022-05-04 11:07:15+00:00,$YUM Q1’22 Earnings Release can be found here: https://t.co/p9yxxNLf5Y,,0,1,0,,"{('65', 'Interests and Hobbies Vertical', 'Business & finance'), ('67', 'Interests and Hobbies', 'Stocks & indices'), ('66', 'Interests and Hobbies Category', 'Personal finance'), ('131', 'Unified Twitter Taxonomy', 'Yum! Brands'), ('47', 'Brand', 'Yum! Brands'), ('131', 'Unified Twitter Taxonomy', 'S&P 500')}","{('Other', 'YUM')}"
56,yumbrands,False,False,1521808619804766209,2022-05-04 11:07:03+00:00,$YUM System Sales Growth of 8% Driven by 6% Unit Growth and 3% Same-Store Sales Growth; https://t.co/p9yxxNLf5Y,,0,1,0,,"{('65', 'Interests and Hobbies Vertical', 'Business & finance'), ('67', 'Interests and Hobbies', 'Stocks & indices'), ('66', 'Interests and Hobbies Category', 'Personal finance'), ('131', 'Unified Twitter Taxonomy', 'Yum! Brands'), ('47', 'Brand', 'Yum! Brands'), ('131', 'Unified Twitter Taxonomy', 'S&P 500')}","{('Organization', 'YUM')}"
57,yumbrands,False,False,1521808549009047558,2022-05-04 11:06:46+00:00,$YUM Reports Q1 Record 997 Gross Unit Openings and Record Digital Mix Exceeding 40%; https://t.co/p9yxxNLf5Y,,1,0,0,,"{('65', 'Interests and Hobbies Vertical', 'Business & finance'), ('67', 'Interests and Hobbies', 'Stocks & indices'), ('66', 'Interests and Hobbies Category', 'Personal finance'), ('131', 'Unified Twitter Taxonomy', 'Yum! Brands'), ('47', 'Brand', 'Yum! Brands'), ('131', 'Unified Twitter Taxonomy', 'S&P 500')}","{('Organization', 'YUM')}"
58,yumbrands,False,False,1521808481522798592,2022-05-04 11:06:30+00:00,$YUM Cautionary Statement on forward-looking statements &amp; non-GAAP measures can be found here: https://t.co/2LTUyXc7Ws,,2,0,1,,"{('65', 'Interests and Hobbies Vertical', 'Business & finance'), ('67', 'Interests and Hobbies', 'Stocks & indices'), ('66', 'Interests and Hobbies Category', 'Personal finance'), ('131', 'Unified Twitter Taxonomy', 'Yum! Brands'), ('47', 'Brand', 'Yum! Brands'), ('131', 'Unified Twitter Taxonomy', 'S&P 500')}","{('Organization', 'YUM')}"
59,yumbrands,False,False,1521230952520982528,2022-05-02 20:51:36+00:00,"May is Asian American &amp; Pacific Islander Heritage Month and Jewish American Heritage Month, and we’re celebrating the impactful contributions and histories of these communities. This month and every month, Yum! is proud to honor their cultures and share their stories. https://t.co/qCwooMP4JH",,2,0,0,,"{('47', 'Brand', 'Yum! Brands'), ('131', 'Unified Twitter Taxonomy', 'S&P 500'), ('131', 'Unified Twitter Taxonomy', 'Yum! Brands'), ('29', 'Events [Entity Service]', 'Asian Pacific Asian Heritage Month 2022')}","{('Other', 'American Heritage Month'), ('Other', 'Yum'), ('Other', 'Heritage Month')}"
60,yumbrands,False,False,1519751533742669829,2022-04-28 18:52:55+00:00,Huge congratulations to our Chief Digital &amp; Technology Officer Clay Johnson for being recognized by @Forbes as a top tech leader who is driving game-changing innovations. https://t.co/xhYhufBc9H https://t.co/dU52JZnxhU,,1,1,0,,"{('47', 'Brand', 'Yum! Brands'), ('131', 'Unified Twitter Taxonomy', 'S&P 500'), ('131', 'Unified Twitter Taxonomy', 'Yum! Brands')}","{('Person', 'Clay Johnson')}"
